,ID,Venue,T1_Mat,T1_AvgRunsScored,T1_AvgRunsConceded,T1_AvgWktsTaken,T1_AvgWktsLost,T1_AvgBound,T1_W/L,T2_Mat,T2_AvgRunsScored,T2_AvgRunsConceded,T2_AvgWktsTaken,T2_AvgWktsLost,T2_AvgBound,T2_W/L,Winner
144,145,Asia,74,7.39,7.47,0.33,0.3,0.89,1.312,48,7.55,7.77,0.3,0.29,0.92,1.285,1
145,146,Asia,75,7.43,7.5,0.32,0.3,0.9,1.343,49,7.59,7.81,0.29,0.28,0.93,1.227,1
146,147,Asia,60,7.13,7.36,0.3,0.32,0.87,1.4,58,7.38,7.84,0.29,0.33,0.96,0.933,1
147,148,Asia,61,7.19,7.4,0.31,0.32,0.88,1.44,59,7.41,7.89,0.29,0.34,0.96,0.903,0
148,149,Asia,76,6.93,7.17,0.32,0.35,0.81,1.235,69,7.68,7.9,0.3,0.33,0.96,1.029,0
149,150,Asia,77,6.93,7.18,0.32,0.35,0.81,1.2,70,7.68,7.89,0.31,0.32,0.96,1.058,0
150,151,Oceania,62,7.18,7.4,0.31,0.32,0.88,1.384,66,7.14,7.81,0.3,0.37,0.86,0.736,0
151,152,Oceania,63,7.19,7.43,0.3,0.33,0.88,1.333,67,7.17,7.83,0.3,0.37,0.87,0.763,0
152,153,Oceania,78,6.94,7.2,0.32,0.35,0.81,1.166,68,7.22,7.81,0.3,0.36,0.88,0.789,1
153,154,Oceania,79,6.96,7.2,0.32,0.35,0.81,1.194,69,7.22,7.82,0.3,0.37,0.88,0.769,0
154,155,Oceania,80,6.97,7.23,0.31,0.35,0.82,1.162,70,7.25,7.83,0.3,0.36,0.88,0.794,0
155,156,Oceania,50,7.53,7.77,0.29,0.29,0.92,1.173,73,7.92,7.54,0.32,0.33,0.97,1.147,1
156,157,Oceania,51,7.56,7.77,0.3,0.29,0.92,1.217,74,7.91,7.56,0.32,0.33,0.97,1.114,1
157,158,Oceania,52,7.58,7.76,0.3,0.28,0.93,1.26,75,7.9,7.58,0.32,0.33,0.97,1.083,1
158,159,Asia,53,7.62,7.8,0.3,0.28,0.93,1.304,64,7.19,7.49,0.3,0.33,0.88,1.285,0
159,160,Asia,65,7.16,7.46,0.31,0.33,0.88,1.321,54,7.57,7.77,0.3,0.29,0.92,1.25,0
160,161,Asia,55,7.6,7.74,0.3,0.29,0.93,1.291,66,7.15,7.49,0.31,0.33,0.87,1.275,1
161,162,Africa,76,7.4,7.48,0.33,0.3,0.9,1.375,71,7.69,7.89,0.31,0.33,0.96,1.088,1
162,163,Africa,77,7.39,7.46,0.33,0.3,0.89,1.406,72,7.67,7.87,0.31,0.33,0.96,1.057,1
163,164,Asia,56,7.58,7.69,0.3,0.28,0.93,1.333,30,6.57,8.07,0.24,0.4,0.81,0.153,1
164,165,Asia,57,7.59,7.65,0.3,0.28,0.93,1.375,81,6.96,7.26,0.31,0.35,0.82,1.131,1
165,166,Asia,67,7.11,7.47,0.3,0.33,0.87,1.233,31,6.54,8.07,0.25,0.4,0.8,0.148,0
166,167,Asia,58,7.54,7.6,0.3,0.28,0.92,1.416,68,7.09,7.47,0.3,0.33,0.86,1.193,1
167,168,Asia,82,6.92,7.24,0.31,0.36,0.81,1.102,32,6.56,8.01,0.25,0.4,0.8,0.185,0
168,169,Asia,69,7.08,7.47,0.3,0.33,0.86,1.156,83,6.92,7.23,0.31,0.36,0.81,1.075,0
169,170,Africa,78,7.42,7.48,0.33,0.3,0.9,1.437,76,7.92,7.61,0.32,0.33,0.97,1.054,1
170,171,Africa,79,7.43,7.48,0.33,0.3,0.9,1.468,77,7.92,7.62,0.31,0.34,0.97,1.026,0
171,172,Asia,59,7.54,7.59,0.31,0.28,0.92,1.458,33,6.55,7.96,0.25,0.39,0.8,0.222,1
172,173,Africa,80,7.46,7.52,0.33,0.3,0.91,1.424,78,7.94,7.65,0.32,0.33,0.97,1.052,0
173,174,Asia,60,7.56,7.59,0.3,0.28,0.93,1.5,71,7.28,7.81,0.31,0.36,0.89,0.82,0
174,175,Asia,84,6.92,7.23,0.31,0.35,0.82,1.1,34,6.58,7.98,0.25,0.39,0.8,0.214,1
175,176,Asia,73,7.67,7.91,0.31,0.33,0.96,1.027,60,7.41,7.87,0.29,0.33,0.96,0.935,0
176,177,Asia,79,7.95,7.67,0.31,0.33,0.97,1.078,72,7.26,7.76,0.31,0.36,0.89,0.846,0
177,178,Asia,81,7.48,7.54,0.33,0.3,0.91,1.382,74,7.69,7.94,0.3,0.33,0.96,1,0
178,179,Asia,61,7.5,7.56,0.3,0.29,0.92,1.44,85,6.96,7.23,0.31,0.35,0.82,1.125,1
179,180,Asia,71,7.09,7.47,0.3,0.33,0.86,1.151,61,7.43,7.89,0.29,0.33,0.96,0.967,0
180,181,Asia,80,7.93,7.66,0.31,0.33,0.97,1.051,35,6.59,8.04,0.25,0.39,0.81,0.206,1
181,182,Asia,86,6.95,7.23,0.31,0.35,0.82,1.097,73,7.25,7.75,0.31,0.36,0.88,0.871,0
182,183,Asia,62,7.49,7.54,0.3,0.29,0.92,1.48,36,6.61,8.05,0.25,0.38,0.81,0.2,1
183,184,Asia,81,7.94,7.65,0.31,0.33,0.97,1.076,87,6.95,7.25,0.31,0.35,0.82,1.071,1
184,185,Asia,83,7.56,7.6,0.33,0.3,0.93,1.371,62,7.42,7.85,0.29,0.33,0.96,1,0
185,186,Asia,74,7.27,7.74,0.31,0.36,0.89,0.897,37,6.62,8.03,0.26,0.39,0.81,0.193,1
186,187,Asia,72,7.07,7.47,0.3,0.33,0.86,1.117,76,7.7,7.96,0.3,0.33,0.96,1.054,0
187,188,Asia,63,7.49,7.54,0.31,0.29,0.92,1.52,82,7.95,7.66,0.31,0.33,0.98,1.102,1
188,189,Asia,84,7.54,7.58,0.33,0.3,0.92,1.333,73,7.08,7.48,0.3,0.33,0.86,1.085,1
189,190,Asia,77,7.71,7.96,0.3,0.33,0.96,1.081,75,7.26,7.7,0.31,0.36,0.89,0.923,1
190,191,Asia,64,7.5,7.54,0.31,0.29,0.92,1.56,64,7.36,7.79,0.29,0.33,0.95,1,0
191,192,Asia,78,7.73,7.95,0.31,0.33,0.97,1.108,65,7.4,7.82,0.29,0.33,0.96,1.031,0
192,193,Europe,79,7.72,7.95,0.31,0.33,0.97,1.078,74,7.05,7.47,0.29,0.34,0.86,1.055,1
193,194,America,65,7.52,7.58,0.3,0.28,0.92,1.5,66,7.4,7.81,0.29,0.33,0.96,1.062,0
194,195,Asia,83,7.94,7.67,0.31,0.33,0.97,1.075,75,7.04,7.48,0.29,0.34,0.85,1.027,1
195,196,Europe,80,7.72,7.93,0.31,0.33,0.96,1.105,88,6.97,7.27,0.31,0.35,0.83,1.046,0
196,197,Asia,84,8,7.68,0.31,0.33,0.99,1.1,76,7.06,7.55,0.29,0.34,0.86,1,1
197,198,Asia,67,7.47,7.88,0.29,0.33,0.97,1.093,89,6.99,7.26,0.31,0.35,0.83,1.069,0
198,199,Asia,90,7,7.24,0.31,0.35,0.83,1.093,68,7.44,7.88,0.29,0.33,0.97,1.06,1
199,200,Asia,91,7,7.24,0.31,0.34,0.83,1.116,69,7.42,7.88,0.29,0.33,0.96,1.029,1
200,201,Oceania,76,7.26,7.72,0.31,0.36,0.89,0.9,38,6.56,8,0.26,0.39,0.8,0.187,1
201,202,Oceania,77,7.27,7.71,0.31,0.36,0.89,0.925,39,6.55,8,0.26,0.39,0.8,0.181,1
202,203,Oceania,78,7.3,7.72,0.31,0.36,0.89,0.95,40,6.57,8.04,0.26,0.4,0.8,0.176,1
203,204,Africa,85,7.53,7.56,0.33,0.29,0.92,1.361,77,7.04,7.55,0.29,0.34,0.85,0.974,1
204,205,Africa,86,7.55,7.58,0.33,0.3,0.92,1.388,78,7.07,7.58,0.29,0.34,0.86,0.95,0
205,206,Africa,87,7.53,7.56,0.33,0.3,0.92,1.351,79,7.05,7.56,0.29,0.34,0.85,0.975,0
206,207,Asia,66,7.59,7.65,0.3,0.28,0.93,1.444,81,7.7,7.95,0.3,0.33,0.96,1.076,0
207,208,Asia,67,7.58,7.65,0.3,0.28,0.93,1.392,82,7.7,7.94,0.3,0.32,0.96,1.102,1
208,209,Asia,68,7.57,7.64,0.3,0.28,0.92,1.428,83,7.69,7.93,0.3,0.32,0.95,1.075,1
209,210,Oceania,88,7.54,7.57,0.33,0.3,0.92,1.315,79,7.32,7.72,0.31,0.36,0.89,0.975,1
210,211,Oceania,85,7.99,7.66,0.32,0.33,0.99,1.125,80,7.06,7.57,0.29,0.34,0.86,1,0
211,212,Oceania,86,7.99,7.67,0.32,0.33,0.98,1.097,81,7.07,7.58,0.29,0.34,0.86,1.025,0
212,213,Oceania,87,7.99,7.68,0.32,0.33,0.98,1.071,82,7.09,7.59,0.29,0.34,0.86,1.05,1
